,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
263,439,126.8068,6,15,4.5,3.5,3915.5,2,False,4.0578176,676.302933333333
264,440,225.882,7,15,1,2.5,3858.5,2,False,7.228224,1032.60342857143
265,441,126.7075,6,15,1,4.5,3860.5,2,False,4.05464,675.773333333333
266,442,195.3374,7,15,3.5,1,3897,2,False,6.2507968,892.970971428571
267,443,53.4841,3,15,5,1,3921,1,False,1.7114912,570.497066666667
268,444,195.2001,7,15,2.5,3.5,3883.5,2,False,6.2464032,892.343314285714
269,445,53.4214,3,15,4,5,3909,1,False,1.7094848,569.828266666667
270,446,194.2631,7,15,4.66666666666667,2.33333333333333,3917,3,False,6.2164192,888.059885714286
271,447,193.9492,7,15,2.33333333333333,4.66666666666667,3882,3,False,6.2063744,886.624914285714
272,448,111.4942,5,15,7,0,3952,5,False,3.5678144,713.56288
273,449,111.6517,5,15,7,7,3959,5,False,3.5728544,714.57088
274,450,90.015,4,15,7.5,6.5,3966.5,4,False,2.88048,720.12
275,451,89.9092,4,15,1,7.5,3863.5,4,False,2.8770944,719.2736
276,452,89.9996,4,15,7.5,1,3961,4,False,2.8799872,719.9968
277,453,89.8592,4,15,6.5,7.5,3951.5,4,False,2.8754944,718.8736
278,454,105.9863,5,15,8,6,3974,5,False,3.3915616,678.31232
279,455,105.9285,5,15,2,8,3880,5,False,3.389712,677.9424
280,456,106.0684,5,15,8,2,3970,5,False,3.3941888,678.83776
281,457,105.8179,5,15,6,8,3944,5,False,3.3861728,677.23456
282,458,115.481,5,15,8,5,3973,5,False,3.695392,739.0784
283,459,115.4603,5,15,3,8,3896,5,False,3.6947296,738.94592
284,460,81.981,4,15,8.5,3,3979,4,False,2.623392,655.848
285,461,81.8057,4,15,5.5,8.5,3936.5,4,False,2.6177824,654.4456
286,462,58.9485,3,15,9,5,3989,3,False,1.886352,628.784
287,463,58.8946,3,15,4,9,3913,3,False,1.8846272,628.209066666667
288,464,52.5159,3,15,9.66666666666667,4.33333333333333,3999,3,False,1.6805088,560.1696
289,465,52.5307,3,15,5.33333333333333,9.66666666666667,3935,3,False,1.6809824,560.327466666667
290,470,206.6837,7,16,2.5,1.5,4137.5,2,False,6.6138784,944.839771428571
291,471,118.7039,6,16,4.5,3.5,4171.5,2,False,3.7985248,633.087466666667
292,472,206.6928,7,16,1,2.5,4114.5,2,False,6.6141696,944.881371428571
293,473,118.6237,6,16,1,4.5,4116.5,2,False,3.7959584,632.659733333333
294,474,179.7017,7,16,3.5,1,4153,2,False,5.7504544,821.493485714286
295,475,50.0459,3,16,5,1,4177,1,False,1.6014688,533.822933333333
296,476,179.5811,7,16,2.5,3.5,4139.5,2,False,5.7465952,820.942171428571
297,477,49.961,3,16,4,5,4165,1,False,1.598752,532.917333333333
298,478,181.5367,7,16,4.66666666666667,2.33333333333333,4173,3,False,5.8091744,829.882057142857
299,479,181.4372,7,16,2.33333333333333,4.66666666666667,4138,3,False,5.8059904,829.4272
