,Layer,U,V,Type,Shape,ADCHits,TOXHits,EvSize,EvSizeXCheck,Elinks
329,4,7,1,LD,F,17.2947,3.85245,34.6775,36,1
330,4,8,1,LD,F,8.40665,3.62861,27.0106,27,1
331,4,9,1,LD,a,4.84248,2.21577,15.955,16,1
332,4,5,6,LD,F,28.3455,6.46951,44.2603,43,1
333,4,6,7,LD,F,17.2795,3.81868,34.6202,36,1
334,4,7,8,LD,F,8.43899,3.64672,27.0634,27,1
335,4,8,9,LD,a,4.80073,2.20268,15.8977,16,1
336,4,6,3,LD,F,34.1896,7.91914,49.7694,51,2
337,4,7,4,LD,F,21.8683,4.83037,38.4449,38,1
338,4,8,5,LD,F,13.7052,3.09949,31.2916,32,1
339,4,9,6,LD,F,6.51098,3.01123,24.517,25,1
340,4,3,6,LD,F,34.0667,7.86852,49.6361,51,2
341,4,3,7,LD,F,21.8215,4.85115,38.4435,38,1
342,4,3,8,LD,F,13.6618,3.07354,31.2225,32,1
343,4,3,9,LD,F,6.57419,3.01611,24.5855,25,1
344,4,6,2,LD,F,32.5406,7.44127,48.1531,49,1
345,4,7,2,LD,F,20.0882,4.4179,36.9663,37,1
346,4,8,2,LD,F,10.5886,4.18418,29.6633,30,1
347,4,9,2,LD,F,5.93538,2.70215,23.6344,24,1
348,4,4,6,LD,F,32.5097,7.43139,48.1366,49,1
349,4,5,7,LD,F,20.04,4.43709,36.9588,37,1
350,4,6,8,LD,F,10.5613,4.20192,29.6585,30,1
351,4,7,9,LD,F,5.91229,2.70082,23.6103,24,1
352,4,7,3,LD,F,21.9235,4.86197,38.5188,38,1
353,4,8,3,LD,F,13.6827,3.07176,31.2463,32,1
354,4,9,3,LD,L,6.55575,3.02504,26.5791,27,1
355,4,4,7,LD,F,21.8157,4.8428,38.4321,38,1
356,4,5,8,LD,F,13.7057,3.07795,31.2733,32,1
357,4,6,9,LD,L,6.51639,2.98668,26.5019,27,1
358,4,8,4,LD,F,14.2608,3.19244,31.8388,32,1
359,4,9,4,LD,F,7.02966,3.23175,25.253,25,1
360,4,10,4,LD,d,4.12586,1.96446,15.0346,15,1
361,4,9,5,LD,F,7.01923,3.21414,25.2266,25,1
362,4,10,5,LD,d,4.42567,2.09117,15.444,15,1
363,4,10,6,LD,d,4.17017,1.97717,15.0876,15,1
364,4,4,8,LD,F,14.1648,3.22096,31.767,32,1
365,4,5,9,LD,F,6.98638,3.21376,25.1933,25,1
366,4,6,10,LD,d,4.15717,1.94683,15.0443,15,1
367,4,4,9,LD,F,7.03907,3.23585,25.2672,25,1
368,4,5,10,LD,d,4.44892,2.09319,15.4631,15,1
369,4,4,10,LD,d,4.14264,1.94817,15.0321,15,1
